Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,% Newborns weighed at birth to live birth,Number of Newborns having weight less than 2.5 kg,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,Number of New Borns Breast Fed within 1 hour,% Newborns breast fed within 1 hour of birth to Total live birth,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given Hep- B0 (birth dose),% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,Number of Infants given MR,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles/ MR,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Abcess ),Adverse Events Following Imunisation (Deaths),Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,Pneumonia in Children 0-5 Years of Age,Asthma in Children 0-5 Years of Age,Sepsis in Children 0-5 Years of Age,Diphtheria in Children 0-5 Years of Age,Pertussis in Children 0-5 Years of Age,Tetanus Neonatorum in Children 0-5 Years of Age,Tuberculosis (TB) in Children 0-5 Years of Age,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,Measles in Children 0-5 Years of Age,Malaria in Children 0-5 Years of Age,Diarrhoea in Children 0-5 Years of Age,Diarrhoea treated in Inpatients in Children 0-5 Years of Age,No. of infants given Measles Rubella vaccine 1st dose,No. of infants received Rotavirus Vaccine 1st dose,No. of infants received Rotavirus Vaccine 2nd dose,No. of infants received Rotavirus Vaccine 3nd dose,No of children 16-24 months age given Measles 2nd dose,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose
Manipur,44000,29287,66.5,100.1,143,99.5,28639,97.8,1299,4.5,27355,93.4,903,19756,33569,17284,67.5,114.6,59.0,200,202,213,32225,30956,31028,31900,56,109.1,31108,5.0,101.0,48.1,7,0,0,93.9,80.5,521,152,200,0,0,0,11,11,73,521,11072,2880,56,179,142,142,26357,5
Meghalaya,76000,61266,80.6,98.6,1368,97.8,58712,95.8,4653,7.9,55824,91.1,937,38444,60698,30662,62.7,99.1,50.0,871,713,671,58570,55692,53303,49858,36,81.4,49686,17.9,92.2,18.4,10,1,1,87.1,80.0,6406,730,345,3,3,0,169,169,431,6406,53486,7089,36,160,143,143,38548,240
Mizoram,19000,14363,75.5,99.1,135,99.1,13619,94.8,648,4.8,13216,92.0,964,6439,13187,6466,44.8,91.8,45.0,685,626,604,13949,13609,13381,12529,324,89.5,12664,5.0,79.2,64.7,140,0,0,96.5,90.9,549,9,462,5,0,0,74,74,183,549,5723,1196,324,66,16,16,11573,578
Nagaland,32000,14962,46.7,98.8,260,98.3,14698,98.2,619,4.2,13133,87.8,919,13074,17608,10527,87.4,117.7,70.4,689,764,769,17074,15916,15024,15208,13,101.7,13630,13.6,99.1,24.0,1,0,0,94.0,58.5,256,43,67,0,0,0,41,41,239,256,2358,377,13,0,0,0,12913,6
Odisha,850000,466021,54.8,98.5,10421,97.8,464061,99.6,83499,18.0,440129,94.4,936,429032,491520,384541,92.1,105.5,82.5,0,0,0,502395,481001,473309,447851,0,96.1,445748,8.9,95.2,121.5,3223,2,2,99.7,95.4,51107,7152,2405,0,0,0,287,287,1092,51107,138237,15717,0,479916,456038,456038,437499,0
Puducherry,22000,33708,153.2,99.2,391,98.9,33722,100.0,5098,15.1,26888,79.8,940,33376,33361,33363,99.0,99.0,99.0,0,0,0,14363,11941,11621,60,12258,36.5,11641,99.8,34.1,110.9,35,0,0,99.4,0.2,143,3040,97,0,1,0,0,0,11,143,9127,1101,12258,48,0,0,240,10036
Punjab,450000,285729,63.4,99.2,4253,98.5,282529,98.9,24303,8.6,231595,81.1,906,266417,314676,224711,93.2,110.1,78.6,675,772,1092,293268,281529,280847,319122,76,111.7,317958,-1.4,105.7,94.7,48,0,0,98.2,92.7,5252,3209,6250,20,0,1,240,240,81,5252,28945,4385,76,67,0,0,280551,24
Rajasthan,1867000,1064885,57.0,98.0,19293,98.2,1033358,97.0,146112,14.1,978772,91.9,945,843683,1145288,766335,79.2,107.6,72.0,11,0,0,1075110,1016844,999773,1083313,5928,102.3,1071762,5.4,93.3,59.8,254,2,2,97.1,70.3,34425,7100,2433,2569,36,19,333,333,1050,34425,158351,10660,5928,724472,645039,645039,870542,2215
Sikkim,11000,5546,50.4,99.5,103,98.2,5546,100.0,421,7.6,4586,82.7,910,5329,5455,4947,96.1,98.4,89.2,0,0,9,5680,5582,5573,5752,9,103.9,5778,-5.4,102.1,94.3,7,0,0,98.7,87.8,253,28,37,0,0,0,8,8,36,253,3372,456,9,0,0,0,1,7
Tamil Nadu,1137000,707864,62.2,100.1,5662,99.2,707526,100.0,109411,15.5,490156,69.2,948,692787,694448,669831,97.9,98.1,94.6,40,36,33,700522,693809,688155,432283,315780,105.7,641588,37.8,4.2,113.7,22,0,0,98.5,4.9,6580,4860,1687,0,0,0,405,405,254,6580,505716,19794,315780,128143,116262,116262,134997,494762
Telangana,658000,484014,73.5,106.2,3441,99.3,420231,86.8,29130,6.9,377827,78.1,925,418471,461768,332375,86.5,95.4,68.7,15121,10066,13231,462511,446020,450386,310302,170194,99.3,415767,32.8,133.6,57.3,301,3,3,98.2,85.2,5717,4258,736,216,56,82,845,845,673,5717,42430,9723,170194,4134,668,668,237482,107655
Tripura,58000,38400,66.2,98.7,717,98.2,37703,98.2,4962,13.2,35364,92.1,941,25839,38458,24051,67.3,100.2,62.6,306,272,196,40894,38560,36706,34513,33,90.0,33914,10.3,83.8,27.3,59,0,0,97.5,97.9,1734,424,642,0,0,0,30,30,72,1734,20950,4273,33,35988,29297,29297,31268,21
Uttar Pradesh,5938000,2701159,45.4,100.7,36196,98.7,2433683,90.1,271652,11.2,2406141,89.1,911,2020268,3692244,1297792,74.8,136.7,48.0,48564,28998,34506,3598347,3414729,3365724,3540068,68476,133.6,3625146,4.1,127.6,71.9,3480,10,10,99.6,85.1,59811,17679,5858,1806,242,530,3056,3056,4444,59811,329728,56213,68476,9767,2086,2086,2921099,51149
Uttarakhand,196000,105528,53.8,100.5,1145,98.9,95609,90.6,8411,8.8,89707,85.0,921,97324,135013,66246,92.2,127.9,62.8,106,123,170,130970,123694,121895,86455,13242,94.5,100782,36.0,12.5,48.5,598,12,12,92.5,91.8,2728,1809,1037,0,11,0,35,35,160,2728,20710,5588,13242,34,37,37,67619,3107
West Bengal,1498000,992077,66.2,98.5,16712,98.3,948428,95.6,183984,19.4,833225,84.0,942,919003,1073518,756843,92.6,108.2,76.3,1097,457,514,1054791,1011555,1002685,1058400,696,106.8,1050931,1.4,106.3,105.3,1326,26,26,98.8,80.5,10637,4083,5179,9,1,3,668,668,7668,10637,275328,66208,696,289,272,272,978717,713
