Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
Meghalaya,76000,63596,83.6,98.4,1364,97.9,34826,63463,54.8,99.8,1134,2167,4468,59493.0,55529.0,50087.0,52846,83.1,49898,16.7,53115,83.5,14.6,2917,86.1,67.6,0.0,0.1,0,0.0,0,2.0,91.5,6.4,1887,4.7,5.7,5.6,25.7,2.3,13.0,0.2,42.9
Mizoram,19000,14448,76.0,99.3,115,99.2,6337,15117,43.9,104.6,86,211,202,14290.0,14066.0,13702.0,13864,96.0,13515,8.3,12714,88.0,54.9,249,96.9,87.4,0.0,0.0,0,0.0,0,4.3,81.1,14.6,292,9.0,7.3,13.5,17.7,3.1,6.9,0.3,42.0
Nagaland,32000,15499,48.4,98.9,252,98.4,12342,19534,79.6,126.0,3771,4130,4545,14972.0,13114.0,11523.0,16336,105.4,15617,16.4,15546,100.3,19.0,0,95.8,57.4,0.0,0.0,0,0.0,0,3.0,95.5,1.5,136,11.9,13.4,10.4,13.4,0.7,1.5,4.5,44.0
Odisha,853000,466774,54.7,98.4,11314,97.6,417576,496953,89.5,106.5,347,314,553,509003.0,499541.0,496633.0,502733,107.7,501780,-1.2,500342,107.2,103.1,88402,99.6,95.2,0.0,0.0,0,0.0,0,0.4,68.6,31.0,9912,6.2,13.8,17.0,7.0,0.1,1.5,0.0,54.4
Puducherry,22000,32058,145.7,99.3,442,98.6,32205,32207,100.5,100.5,0,0,0,14203.0,11884.0,11728.0,11629,36.3,11550,63.9,11185,34.9,72.2,2620,98.9,0.0,0.0,0.0,0,0.0,0,0.0,99.9,0.0,71,25.7,17.1,40.0,1.4,0.0,4.3,0.0,11.4
Punjab,455000,293402,64.4,99.0,4627,98.4,270375,321235,92.2,109.5,1068,1152,1408,301717.0,291874.0,291898.0,327453,111.6,325103,-1.9,311281,106.1,90.3,26,97.7,89.5,0.0,0.0,0,0.0,0,0.4,99.5,0.1,1244,3.8,6.0,9.4,3.3,2.5,7.5,0.1,67.3
Rajasthan,1858000,1079490,58.0,99.3,19673,98.2,807852,1137850,74.8,105.4,7605,6172,5636,1071508.0,1024009.0,1010974.0,1070145,99.1,1060152,6.0,975930,90.4,45.8,156,96.3,68.9,0.1,0.0,0,0.0,0,0.5,93.8,5.5,12369,17.9,5.3,13.1,7.2,0.4,1.4,0.0,54.8
Sikkim,11000,5333,48.4,99.0,114,97.9,5031,5439,94.3,102.0,0,15,10,5502.0,5568.0,5625.0,6120,114.8,6036,-12.5,4078,76.5,84.7,135,98.4,85.5,0.0,0.0,0,0.0,0,0.4,99.6,0.0,60,6.8,15.3,8.5,5.1,0.0,1.7,1.7,61.0
Tamil Nadu,1147000,703610,61.3,99.9,3816,99.5,697852,698185,99.2,99.2,0,0,0,704946.0,700446.0,696722.0,717712,102.0,687051,-2.8,458630,65.2,140.9,541,98.3,4.4,0.0,0.0,0,0.0,0,0.0,99.8,0.1,3475,14.7,20.7,21.2,1.5,0.2,0.1,0.0,41.7
Telangana,664000,474107,71.4,104.2,4632,99.0,483377,597665,102.0,126.1,14355,10403,11644,669840.0,654769.0,663422.0,691543,145.9,639068,-15.7,436898,92.2,56.1,53,97.6,82.6,0.1,0.0,0,0.0,0,2.8,93.4,3.7,981,3.6,10.4,19.3,4.7,0.1,1.9,0.0,60.1
Tripura,58000,36845,63.5,98.6,662,98.2,21950,39023,59.6,105.9,1065,1688,3351,39427.0,37085.0,34528.0,37829,102.7,35195,3.1,29817,80.9,24.0,26,97.7,95.2,0.0,0.0,0,0.0,0,0.6,90.2,9.2,377,10.8,13.3,15.2,14.4,0.3,1.1,0.3,44.6
Uttar Pradesh,5915000,2677563,45.2,101.1,38271,98.6,1839413,3638102,68.7,135.9,124996,243593,429253,3294602.0,3000578.0,2767002.0,3350744,125.1,3467223,7.9,2929186,109.4,51.9,9378,97.0,80.2,0.3,0.0,0,0.1,0,3.0,91.7,4.9,1687,5.8,10.9,17.8,5.7,1.3,9.3,0.1,49.0
Uttarakhand,198000,107889,54.4,99.3,1421,98.7,81944,130840,76.0,121.3,402,687,687,134772.0,131953.0,128693.0,144271,133.7,139221,-10.3,67008,62.1,68.5,19669,92.4,83.2,0.0,0.0,0,0.0,0,0.7,98.3,0.9,347,5.7,23.0,17.3,2.7,0.3,3.0,0.0,48.1
West Bengal,1496000,1017110,67.9,98.6,16661,98.4,929756,1115683,91.4,109.7,1704,1787,1955,1063141.0,1028719.0,1024433.0,1115994,109.7,1099101,0.0,1120371,110.2,71.0,27048,98.5,78.8,0.0,0.0,0,0.0,0,1.8,97.9,0.2,11013,14.3,23.6,23.2,5.1,0.3,0.7,0.3,32.6
