Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
Meghalaya,73000,57637,78.9,97.9,1425,97.6,47504,27204,62333,47.2,108.1,61614,58778,55010,,,,51376,89.1,47855,17.6,38942,67.6,29.1,316,80.1,60.4,0.0,0.0,0,0.0,0,0.4,94.8,4.8,1560,5.5,7.4,7.3,14.7,2.4,12.6,0.1,49.9
Mizoram,18000,15647,86.9,99.1,155,99.0,15052,1527,18293,9.8,116.9,17685,17774,17591,,,,16811,107.4,16371,8.1,14692,93.9,66.8,29,95.7,79.7,0.0,0.0,0,0.0,0,2.2,79.7,18.1,359,6.3,3.1,5.1,33.0,1.4,13.6,0.0,37.5
Nagaland,31000,15772,50.8,99.1,227,98.6,14431,16047,20981,101.7,133.0,20185,18983,18037,,,,16932,107.4,14988,19.3,14252,90.4,33.1,13,95.6,59.0,0.0,0.0,0,0.0,0,2.5,89.4,8.1,58,9.3,13.0,7.4,14.8,9.3,11.1,0.0,35.2
Odisha,846000,525979,62.1,98.2,13437,97.5,495298,309488,567464,58.8,107.9,551836,561268,562076,0.0,0.0,0.0,559785,106.4,544841,1.4,634412,120.6,153.4,36257,98.9,93.5,0.0,0.0,0,0.0,0,0.4,63.7,35.9,10042,4.6,13.6,30.1,8.5,0.4,1.8,0.1,40.9
Puducherry,21000,27603,131.4,98.4,755,97.3,27299,25831,25831,93.6,93.6,13860,11433,10747,,,,11110,40.2,11103,57.0,5395,19.5,8.2,2975,97.6,0.0,0.0,0.0,0,0.0,0,0.0,99.6,0.4,128,17.0,33.0,23.6,0.0,0.9,0.0,0.0,25.5
Punjab,448000,319255,71.2,99.0,4728,98.5,297704,242894,340041,76.1,106.5,325262,317114,315964,0.0,0.0,0.0,329598,103.2,324022,3.1,185595,58.1,87.4,1351,96.9,78.2,0.0,0.0,0,0.0,0,0.5,98.9,0.6,1650,4.2,6.1,9.1,5.2,2.1,5.5,0.0,67.7
Rajasthan,1817000,1087075,59.8,100.2,20777,98.1,886917,618601,1067816,56.9,98.2,1080448,1020953,1013018,,,,1002767,92.2,977666,6.1,901425,82.9,49.3,390,164.9,109.2,0.1,0.0,0,0.1,0,0.7,85.0,14.1,10113,7.1,13.5,21.8,2.1,2.2,4.8,0.0,48.4
Sikkim,11000,5791,52.6,101.2,69,98.8,5477,5004,6215,86.4,107.3,5946,5938,5915,,,,6528,112.7,6450,-5.0,6694,115.6,89.3,52,97.6,87.7,0.0,0.0,0,0.0,0,0.7,99.3,0.0,7,0.0,0.0,40.0,0.0,0.0,40.0,0.0,20.0
Tamil Nadu,1143000,768690,67.2,96.0,7749,99.0,767485,765736,771110,99.6,100.3,15100,14817,14716,345855.0,344494.0,341016.0,785750,102.2,774870,-1.9,845960,110.1,136.8,7367,97.8,3.1,0.0,0.0,0,0.0,0,0.0,99.9,0.1,10257,6.4,24.6,10.4,4.5,0.9,0.3,0.0,52.9
Tripura,52000,38742,74.5,98.8,772,98.0,36708,15856,42210,40.9,109.0,45245,43253,41278,,,,38894,100.4,33943,7.9,40244,103.9,17.9,4,94.9,90.6,0.0,0.0,0,0.0,0,0.6,92.2,7.2,203,15.2,10.5,9.9,23.6,0.0,3.7,0.0,37.2
Uttar Pradesh,5616000,2831345,50.4,118.1,43913,98.5,2151464,1672469,3460902,59.1,122.2,3390733,3117040,3109579,,,,3298033,116.5,3187042,4.7,2342357,82.7,21.8,1835,91.4,66.8,0.9,0.0,0,0.0,0,8.7,86.4,4.0,732,8.8,10.1,19.5,5.9,5.0,8.2,1.6,40.9
Uttarakhand,191000,109407,57.2,99.1,1527,98.6,98235,87521,138465,80.0,126.6,128584,125705,126842,0.0,0.0,0.0,126585,115.7,122413,8.6,78347,71.6,37.7,90,88.6,80.2,0.0,0.0,0,0.0,0,1.8,97.1,1.1,70,14.6,2.1,14.6,16.7,6.3,14.6,0.0,31.3
West Bengal,1490000,1074582,72.1,96.6,18020,98.4,976957,751806,1200297,70.0,111.7,1093207,1063022,1062633,0.0,0.0,0.0,1124388,104.6,1044470,6.3,324885,30.2,18.7,12937,94.6,67.7,0.0,0.0,0,0.0,0,1.7,97.7,0.6,11844,11.6,21.0,22.7,5.1,0.4,2.1,0.0,37.1
