Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,% Newborns weighed at birth to live birth,Number of Newborns having weight less than 2.5 kg,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,Number of New Borns Breast Fed within 1 hour,% Newborns breast fed within 1 hour of birth to Total live birth,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given Hep- B0 (birth dose),% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,Number of Infants given MR,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles/ MR,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Abcess ),Adverse Events Following Imunisation (Deaths),Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,Pneumonia in Children 0-5 Years of Age,Asthma in Children 0-5 Years of Age,Unnamed: 40,Sepsis in Children 0-5 Years of Age,Diphtheria in Children 0-5 Years of Age,Pertussis in Children 0-5 Years of Age,Tetanus Neonatorum in Children 0-5 Years of Age,Tuberculosis (TB) in Children 0-5 Years of Age,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,Measles in Children 0-5 Years of Age,Malaria in Children 0-5 Years of Age,Diarrhoea in Children 0-5 Years of Age,Diarrhoea treated in Inpatients in Children 0-5 Years of Age,No. of infants given Measles Rubella vaccine 1st dose,No. of infants received Rotavirus Vaccine 1st dose,No. of infants received Rotavirus Vaccine 2nd dose,No. of infants received Rotavirus Vaccine 3nd dose,No of children 16-24 months age given Measles 2nd dose,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose
Maharashtra,1963000,1232330,62.7,99.8,12653,99.0,1192263,96.7,162634,13.6,1114217,90.4,933,1223727,1513431,811426,99.3,122.8,65.8,589,258,309,1410351,1359471,1377874,1101361,66222,94.7,1155756,27.2,87.5,97.1,56,20,20,99.7,87.1,17860,5895,2642,3355,82,42,25,1479,1479,2494,17860,76105,24461,66222,25859,22929,22929,842538,46392
Manipur,40000,28408,71.0,99.9,147,99.5,27680,97.4,1194,4.3,25349,89.2,929,19641,31066,18830,69.1,109.4,66.3,58,15,40,30506,29284,27985,1243,26056,96.1,26242,96.0,83.2,57.0,0,0,0,93.3,82.1,1006,381,152,152,10,0,0,18,18,228,1006,9444,1921,26056,251,226,226,714,16108
Meghalaya,76000,60859,80.0,99.0,1284,97.9,57393,94.3,4542,7.9,54653,89.8,956,36093,56297,30080,59.3,92.5,49.4,747,570,537,56731,52322,49198,33798,1195,57.5,34820,40.0,51.9,20.4,51,0,0,86.2,71.3,3962,245,730,610,5,4,0,143,143,283,3962,55036,5376,1195,26,13,13,28833,591
Mizoram,18000,14021,77.8,99.2,164,98.8,13521,96.4,704,5.2,15182,108.3,966,7154,13657,6879,51.0,97.4,49.1,788,721,648,14245,13971,13608,1566,9539,79.2,11127,88.5,77.1,67.0,11,0,0,96.7,90.4,936,60,9,376,0,1,0,63,63,114,936,4403,1146,9539,50,29,29,2007,8293
Nagaland,30000,14702,49.0,99.3,230,98.5,14469,98.4,616,4.3,12344,84.0,938,11284,15927,10588,76.8,108.3,72.0,94,71,91,16177,15128,14448,9801,1642,77.8,10541,38.5,81.7,32.9,0,0,0,94.8,60.3,528,128,43,186,0,9,0,73,73,485,528,2484,493,1642,14,0,0,9033,953
Odisha,830000,457671,55.1,98.6,10534,97.8,456209,99.7,90692,19.9,431211,94.2,943,425744,483913,390458,93.0,105.7,85.3,1,0,25,495645,487506,484552,162984,369626,116.4,528171,66.3,126.0,192.8,2297,12,12,99.7,95.9,31347,8429,7152,3005,11,7,0,361,361,406,31347,137911,16725,369626,487202,477972,477972,27868,423847
Puducherry,23000,34551,150.2,99.4,396,98.9,34235,99.1,4364,12.7,30400,88.0,944,34205,34253,34185,99.0,99.1,98.9,15,141,0,13078,11169,10747,861,10380,32.5,10973,97.5,31.1,58.3,6,0,0,99.0,18.5,911,2341,3040,69,13,0,0,26,26,3,911,7517,1082,10380,62,13,13,627,10257
Punjab,445000,284499,63.9,99.6,4106,98.6,281100,98.8,23907,8.5,227824,80.1,896,269367,311914,221370,94.7,109.6,77.8,130,127,348,292025,278956,275928,23638,253076,97.3,273814,92.4,103.1,90.4,54,1,1,97.6,93.0,7030,4909,3209,5131,17,5,5,243,243,128,7030,30552,4610,253076,54,38,38,29873,208628
Rajasthan,1853000,1034418,55.8,98.9,18043,98.3,992302,95.9,144522,14.6,910502,88.0,948,810851,1094153,767305,78.4,105.8,74.2,0,0,0,1047457,994746,976442,1069878,532,103.5,1061044,2.2,98.7,42.1,376,5,5,96.5,70.9,57825,15612,7100,4699,425,383,35,1655,1655,1275,57825,224425,30017,532,1007587,953120,953120,843489,623
Sikkim,11000,5415,49.2,99.0,123,97.8,5406,99.8,477,8.8,4561,84.2,947,5200,5249,4853,96.0,96.9,89.6,4,1,1,5719,5498,5487,5801,73,108.5,5835,-10.5,106.9,103.1,13,1,1,98.5,88.0,186,27,28,37,0,0,0,0,0,9,186,3193,477,73,15,0,0,3,0
Tamil Nadu,1127000,627600,55.6,101.0,5512,99.1,615624,98.1,104786,17.0,455322,72.5,929,730904,731652,702883,116.5,116.6,112.0,945,532,287,711519,699265,695166,1465,686258,109.6,660315,99.8,69.4,111.4,19,7,7,98.9,7.1,6686,4124,4860,2672,5,0,0,129,129,136,6686,508368,13778,686258,641201,623858,623858,1469,421278
Telangana,651000,425567,65.3,108.4,3564,99.2,333509,78.4,32567,9.8,299296,70.3,948,396069,459801,332077,93.1,108.0,78.0,9259,4526,6024,461048,446958,452127,71976,432878,118.6,448767,84.3,81.6,78.0,474,8,8,98.4,85.0,6106,5418,4258,1109,81,3,0,555,555,60,6106,35986,7859,432878,2720,397,397,68367,348201
Tripura,55000,37499,68.1,99.3,645,98.3,37041,98.8,5290,14.3,31838,84.9,930,27468,35517,26437,73.2,94.7,70.5,247,158,155,39480,38114,36828,23399,10573,90.6,33638,34.1,74.1,28.6,21,0,0,96.5,97.8,2720,602,424,639,3,6,0,24,24,218,2720,11819,4420,10573,37907,36488,36488,20071,2720
Uttar Pradesh,5914000,2577625,43.5,98.4,36208,98.6,2364357,91.7,295346,12.5,2315666,89.8,919,1946325,3509478,1359112,75.5,136.2,52.7,28799,15279,17303,3344025,3132532,3112756,2488341,656752,122.0,3098762,29.1,109.3,15.8,2641,94,94,97.0,86.4,100552,31399,17679,7223,2433,434,88,5978,5978,4241,100552,391228,80238,656752,1332324,805013,805013,2026458,470560
Uttarakhand,185000,110935,59.9,99.5,1332,98.8,106822,96.3,8862,8.3,97427,87.8,940,99571,139960,72135,89.8,126.2,65.0,689,558,651,133170,129266,130436,2867,140879,129.6,142840,98.0,3.3,65.5,219,1,1,94.3,96.0,2796,1369,1809,345,5,16,0,19,19,48,2796,14114,3663,140879,243,157,157,3019,120549
West Bengal,1501000,992004,66.0,99.3,16053,98.4,931157,93.9,191989,20.6,803418,81.0,944,891262,1045380,775242,89.8,105.4,78.1,1967,1820,417,1061020,1017535,1010481,184762,858682,105.2,1033765,82.3,99.6,84.9,1252,15,15,99.2,82.3,19648,7490,4083,6146,144,31,3,549,549,6890,19648,244578,60459,858682,391,225,225,196859,739508
